"CELL_NODE_ID","VENDOR","NODEID","CELLID","NODENAME","CELLNAME","DATEADDED","OBJECTNAME"
"","NOKIA SIEMENS","130380","11","BDHN50","BDHN50M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-130380/LNBTS-130380/LNCEL-11"
"","NOKIA SIEMENS","115240","11","HGV139","HGV139M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-115240/LNBTS-115240/LNCEL-11"
"","NOKIA SIEMENS","101880","12","HHD170","HHD170I4BK",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-101880/LNBTS-101880/LNCEL-12"
"","NOKIA SIEMENS","180114","11","HUHU04","HUHU04M4BA",07-DEC-21 00:00:00,"PLMN-PLMN/MRBTS-180114/LNBTS-180114/LNCEL-11"
"","NOKIA SIEMENS","532473","18","BDTM3M","BDTM3MC4CB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-532473/LNBTS-532473/LNCEL-18"
"","NOKIA SIEMENS","102490","11","HN_SSN_PHU_MINH_6","HN_SSN_PHU_MINH_6_M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-102490/LNBTS-102490/LNCEL-11"
"","NOKIA SIEMENS","101492","12","HN_LBN_NGOC_THUY_6","HN_LBN_NGOC_THUY_6_M4BB",04-APR-23 00:00:00,"PLMN-PLMN/MRBTS-101492/LNBTS-101492/LNCEL-12"
"","NOKIA SIEMENS","500480","12","KHVN56","KHVN56M4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-500480/LNBTS-500480/LNCEL-12"
"","NOKIA SIEMENS","542406","13","BPDO05","BPDO05M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-542406/LNBTS-542406/LNCEL-13"
"","NOKIA SIEMENS","490282","13","GLPT01","GLPT01M4BC",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-490282/LNBTS-490282/LNCEL-13"
"","NOKIA SIEMENS","113690","12","H12089","H12089C4BB",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-113690/LNBTS-113690/LNCEL-12"
"","NOKIA SIEMENS","120736","11","DNLC1C","DNLC1CM4BA",20-APR-22 09:07:38,"PLMN-PLMN/MRBTS-120736/LNBTS-120736/LNCEL-11"
"","NOKIA SIEMENS","585946","11","LATA45","LATA45M4BA",07-JAN-24 00:00:00,"PLMN-PLMN/MRBTS-585946/LNBTS-585946/LNCEL-11"
