"REGION","CODE","PROVINCE","MARKS","DISTRICT","LOCATION","BRANCH","DISTRICT_NAME","ID","DEPT","TEAM","GROUPS","LENGTH_CODE"
"MN","AGCM","Tỉnh An Giang","","Chợ Mới","","","",1805,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",4
"MN","AGLX","Tỉnh An Giang","","Long Xuyên","","","",1806,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",4
"MN","MBF_AGAP","Tỉnh An Giang","","An Phú","","","",1807,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",8
"MN","MBF_AGCD","Tỉnh An Giang","","Châu Đốc","","","",1808,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",8
"MN","MBF_AGCM","Tỉnh An Giang","","Chợ Mới","","","",1809,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",8
"MN","MBF_AGCP","Tỉnh An Giang","","Châu Phú","","","",1810,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",8
"MN","AGPT","Tỉnh An Giang","","Phú Tân","","","",1811,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",4
"MN","MBF_AGLX","Tỉnh An Giang","","Long Xuyên","","","",1812,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",8
"MN","MBF_AGTB","Tỉnh An Giang","","Tịnh Biên","","","",1814,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",8
"MN","MBF_AGTC","Tỉnh An Giang","","Tân Châu","","","",1815,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",8
"MN","MBF_AGTS","Tỉnh An Giang","","Thoại Sơn","","","",1816,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",8
"MN","MBF_AGTT","Tỉnh An Giang","","Tri Tôn","","","",1817,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",8
"MN","AGTC","Tỉnh An Giang","","Tân Châu","","","",1818,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",4
"MN","AGTS","Tỉnh An Giang","","Thoại Sơn","","","",1819,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",4
"MN","AGTB","Tỉnh An Giang","","Tịnh Biên","","","",1820,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",4
"MN","AGTT","Tỉnh An Giang","","Tri Tôn","","","",1821,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",4
"MN","AGAP","Tỉnh An Giang","","An Phú","","","",1822,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",4
"MN","MBF_AGCT","Tỉnh An Giang","","Châu Thành","","","",1823,"ĐVT Cần Thơ","TVT An Giang","ĐVT Cần Thơ",8
"MN","VUDD","Tp Hồ Chí Minh","","Đất Đỏ","","","",1824,"ĐVT Đồng Nai","TVT Vũng Tàu","ĐVT Đồng Nai",4
"MN","VUXM","Tp Hồ Chí Minh","","Xuyên Mộc","","","",1825,"ĐVT Đồng Nai","TVT Vũng Tàu","ĐVT Đồng Nai",4
"MN","VUVT","Tp Hồ Chí Minh","","Tp. Vũng Tàu","","","",1826,"ĐVT Đồng Nai","TVT Vũng Tàu","ĐVT Đồng Nai",4
"MN","VULD","Tp Hồ Chí Minh","","Long Điền","","","",1827,"ĐVT Đồng Nai","TVT Vũng Tàu","ĐVT Đồng Nai",4
"MN","VUCO","Tp Hồ Chí Minh","","Côn Đảo","","","",1828,"ĐVT Đồng Nai","TVT Vũng Tàu","ĐVT Đồng Nai",4
"MN","VUTT","Tp Hồ Chí Minh","","Tân Thành","","","",1829,"ĐVT Đồng Nai","TVT Vũng Tàu","ĐVT Đồng Nai",4
"MN","MBF_VUXM","Tp Hồ Chí Minh","","Xuyên Mộc","","","",1830,"ĐVT Đồng Nai","TVT Vũng Tàu","ĐVT Đồng Nai",8
"MN","MBF_VUVT","Tp Hồ Chí Minh","","Tp. Vũng Tàu","","","",1831,"ĐVT Đồng Nai","TVT Vũng Tàu","ĐVT Đồng Nai",8
"MN","MBF_VUTT","Tp Hồ Chí Minh","","Tân Thành","","","",1832,"ĐVT Đồng Nai","TVT Vũng Tàu","ĐVT Đồng Nai",8
"MN","MBF_VULD","Tp Hồ Chí Minh","","Long Điền","","","",1833,"ĐVT Đồng Nai","TVT Vũng Tàu","ĐVT Đồng Nai",8
"MN","MBF_VUDD","Tp Hồ Chí Minh","","Đất Đỏ","","","",1834,"ĐVT Đồng Nai","TVT Vũng Tàu","ĐVT Đồng Nai",8
"MN","MBF_VUCO","Tp Hồ Chí Minh","","Côn Đảo","","","",1835,"ĐVT Đồng Nai","TVT Vũng Tàu","ĐVT Đồng Nai",8
"MN","MBF_VUCD","Tp Hồ Chí Minh","","Châu Đức","","","",1836,"ĐVT Đồng Nai","TVT Vũng Tàu","ĐVT Đồng Nai",8
"MN","MBF_VUBR","Tp Hồ Chí Minh","","TX Bà rịa","","","",1837,"ĐVT Đồng Nai","TVT Vũng Tàu","ĐVT Đồng Nai",8
