"OBJECTNAME","RNCNAME","RNCDESCRIPTION","WBTSNAME","BTSADDITIONALINFO","CELLNAME","CID","LAC","RAC","SAC","PRISCRCODE","UARFCN","URAID","RNCID","WBTSID","WCELID","OMCNAME","DATEADDED","BTSNAMEALT"
"PLMN-PLMN/RNC-376/WBTS-68/WCEL-5","RDNST15N","","QTDH08","","QTDH08E","","","","","","","","376","68","5","",02-NOV-22 00:00:00,""
"PLMN-PLMN/RNC-376/WBTS-68/WCEL-6","RDNST15N","","QTDH08","","QTDH08F","","","","","","","","376","68","6","",02-NOV-22 00:00:00,""
"PLMN-PLMN/RNC-376/WBTS-681/WCEL-11","RDNST15N","","QTVL30","","QTVL30X","","","","","","","","376","681","11","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-681/WCEL-12","RDNST15N","","QTVL30","","QTVL30Y","","","","","","","","376","681","12","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-681/WCEL-13","RDNST15N","","QTVL30","","QTVL30Z","","","","","","","","376","681","13","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-682/WCEL-11","RDNST15N","","QTHH05","","QTHH05X","","","","","","","","376","682","11","",02-NOV-22 00:00:00,""
"PLMN-PLMN/RNC-376/WBTS-682/WCEL-12","RDNST15N","","QTHH05","","QTHH05Y","","","","","","","","376","682","12","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-682/WCEL-13","RDNST15N","","QTHH05","","QTHH05Z","","","","","","","","376","682","13","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-683/WCEL-11","RDNST15N","","QTHH06","","QTHH06X","","","","","","","","376","683","11","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-683/WCEL-12","RDNST15N","","QTHH06","","QTHH06Y","","","","","","","","376","683","12","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-683/WCEL-13","RDNST15N","","QTHH06","","QTHH06Z","","","","","","","","376","683","13","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-684/WCEL-11","RDNST15N","","QTHH07","","QTHH07X","","","","","","","","376","684","11","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-684/WCEL-12","RDNST15N","","QTHH07","","QTHH07Y","","","","","","","","376","684","12","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-684/WCEL-13","RDNST15N","","QTHH07","","QTHH07Z","","","","","","","","376","684","13","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-685/WCEL-11","RDNST15N","","QTHH10","","QTHH10X","","","","","","","","376","685","11","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-685/WCEL-12","RDNST15N","","QTHH10","","QTHH10Y","","","","","","","","376","685","12","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-685/WCEL-13","RDNST15N","","QTHH10","","QTHH10Z","","","","","","","","376","685","13","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-686/WCEL-11","RDNST15N","","QTHH18","","QTHH18X","","","","","","","","376","686","11","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-686/WCEL-12","RDNST15N","","QTHH18","","QTHH18Y","","","","","","","","376","686","12","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-686/WCEL-13","RDNST15N","","QTHH18","","QTHH18Z","","","","","","","","376","686","13","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-688/WCEL-11","RDNST15N","","QTHH21","","QTHH21X","","","","","","","","376","688","11","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-688/WCEL-12","RDNST15N","","QTHH21","","QTHH21Y","","","","","","","","376","688","12","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-688/WCEL-13","RDNST15N","","QTHH21","","QTHH21Z","","","","","","","","376","688","13","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-689/WCEL-11","RDNST15N","","QTHH22","","QTHH22X","","","","","","","","376","689","11","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-689/WCEL-12","RDNST15N","","QTHH22","","QTHH22Y","","","","","","","","376","689","12","",01-DEC-22 09:03:14,""
"PLMN-PLMN/RNC-376/WBTS-689/WCEL-13","RDNST15N","","QTHH22","","QTHH22Z","","","","","","","","376","689","13","",01-DEC-22 09:03:14,""
