"BSCID","VENDOR","REGION","LAUNCH_DATE","MSCID","TEAM","DEPT","SUB_TEAM","NE_GROUP","LOCATION_NAME","SMS_CSSR","SMS_DRC","NSEI","ACTIVE_DATE","PROVINCE","NE_TYPE"
"RTGMT3N","NOKIA SIEMENS","MN",,"","TVT Tiền Giang","ĐVT Tiền Giang","TVT Tiền Giang","","Mỹ Tho",,,"",,"Tiền Giang","RNC"
"RCTNK6N","NOKIA SIEMENS","MN",,"","TVT Trà Vinh","ĐVT Tiền Giang","TVT Trà Vinh","","Trà Vinh",,,"",,"Trà Vinh","RNC"
"RCTNK7N","NOKIA SIEMENS","MN",,"","TVT Trà Vinh","ĐVT Tiền Giang","TVT Trà Vinh","","Trà Vinh",,,"",,"Trà Vinh","RNC"
"RCTNK9N","NOKIA SIEMENS","MN",,"","TVT Trà Vinh","ĐVT Tiền Giang","TVT Trà Vinh","","Trà Vinh",,,"",,"Trà Vinh","RNC"
"RVLLH1N","NOKIA SIEMENS","MN",,"","TVT Vĩnh Long","ĐVT Tiền Giang","TVT Vĩnh Long","","TP Vĩnh Long",,,"",,"Vĩnh Long","RNC"
"RSG011E","ERICSSON","MN",,"","TVT 1","ĐVT Đông","TVT 1","","Q.11",,,"",,"Hồ Chí Minh","RNC"
"RSG032E","ERICSSON","MN",,"","TVT 3","ĐVT Đông","TVT 3","","Q.3",,,"",,"Hồ Chí Minh","RNC"
"RSG092E","ERICSSON","MN",,"","TVT 2","ĐVT Đông","TVT 2","","Q.9",,,"",,"Hồ Chí Minh","RNC"
"RSGPN1E","ERICSSON","MN",,"","TVT 1","ĐVT Đông","TVT 1","","Q.Phú Nhuận",,,"",,"Hồ Chí Minh","RNC"
"RCTCR9N","NOKIA SIEMENS","MN",,"","TVT Phú Quốc","ĐVT Cần Thơ","TVT Phú Quốc","","Phú Quốc",,,"",,"Kiên Giang","RNC"
