"BSCID","VENDOR","REGION","TRAU","TRX","MSCID","LAUNCH_DATE","TEAM","DEPT","SUB_TEAM","NE_GROUP","LOCATION_NAME","SMS_CSSR","SMS_DRC","NSEI","ACTIVE_DATE","PROVINCE","LONGITUDE","LATITUDE","NE_TYPE"
"BNTNH1A","ALCATEL","MN",,,"",,"TVT Ninh Thuận","ĐVT Đồng Nai","TVT Ninh Thuận","","Ninh Hải",,,"",,"Ninh Thuận","","","BSC"
"BVTVT2N","NOKIA SIEMENS","MN",,,"",,"TVT Vũng Tàu","ĐVT Đồng Nai","TVT Vũng Tàu","","Tp. Vũng Tàu",,,"",,"Bà Rịa Vũng Tàu","","","BSC"
"HUNG_YEN_2","ALCATEL","MB",,,"",,"TVT Hưng Yên","ĐVT Hải Phòng","TVT Hưng Yên","","Hưng Yên",,,"",,"Hưng Yên","","","BSC"
"UONG_BI_2","ALCATEL","MB",,,"",,"TVT Quảng Ninh","ĐVT Hải Phòng","TVT Quảng Ninh","","Quảng Ninh",,,"",,"Quảng Ninh","","","BSC"
"BPYN02N","NOKIA SIEMENS","MT",,,"",,"TVT Phú Yên","ĐVT Bình Định","TVT Phú Yên","","Tuy Hòa",,,"",,"Phú Yên","","","BSC"
"BPYN01N","NOKIA SIEMENS","MT",,,"",,"TVT Phú Yên","ĐVT Bình Định","TVT Phú Yên","","Tuy Hòa",,,"",,"Phú Yên","","","BSC"
"BPYPY02N","NOKIA SIEMENS","MT",,,"",,"TVT Phú Yên","ĐVT Bình Định","TVT Phú Yên","","Tuy Hòa",,,"",,"Phú Yên","","","BSC"
"BPYPY01N","NOKIA SIEMENS","MT",,,"",,"TVT Phú Yên","ĐVT Bình Định","TVT Phú Yên","","Tuy Hòa",,,"",,"Phú Yên","","","BSC"
"BQNHL1E","ERICSSON","MB",,,"",,"TVT Quảng Ninh","ĐVT Hải Phòng","TVT Quảng Ninh","","Quảng Ninh",,,"",,"Quảng Ninh","","","BSC"
"iHNHM1H","HUAWEI","MB",,,"",,"TVT Thái Bình","ĐVT Hải Phòng","TVT Thái Bình","","Thái Bình",,,"",,"Thái Bình","","","BSC"
"BDAN10E","ERICSSON","MT",,,"",,"TVT Quảng Nam","ĐVT Đà Nẵng","TVT Quảng Nam","","Tam Kỳ",,,"",,"Quảng Nam","","","BSC"
"BQNM02E","ERICSSON","MT",,,"",,"TVT Quảng Nam","ĐVT Đà Nẵng","TVT Quảng Nam","","Tam Kỳ",,,"",,"Quảng Nam","","","BSC"
"BQNM01E","ERICSSON","MT",,,"",,"TVT Quảng Nam","ĐVT Đà Nẵng","TVT Quảng Nam","","Tam Kỳ",,,"",,"Quảng Nam","","","BSC"
"BTGG05H","HUAWEI","MN",,,"",,"TVT Tiền Giang","ĐVT Tiền Giang","TVT Tiền Giang","","Mỹ Tho",,,"",,"Tiền Giang","","","BSC"
"BTGG04H","HUAWEI","MN",,,"",,"TVT Tiền Giang","ĐVT Tiền Giang","TVT Tiền Giang","","Mỹ Tho",,,"",,"Tiền Giang","","","BSC"
"BTGG03H","HUAWEI","MN",,,"",,"TVT Tiền Giang","ĐVT Tiền Giang","TVT Tiền Giang","","Mỹ Tho",,,"",,"Tiền Giang","","","BSC"
"BTGG02H","HUAWEI","MN",,,"",,"TVT Tiền Giang","ĐVT Tiền Giang","TVT Tiền Giang","","Mỹ Tho",,,"",,"Tiền Giang","","","BSC"
"BTGG01H","HUAWEI","MN",,,"",,"TVT Tiền Giang","ĐVT Tiền Giang","TVT Tiền Giang","","Mỹ Tho",,,"",,"Tiền Giang","","","BSC"
"BTVH03H","HUAWEI","MN",,,"",,"TVT Trà Vinh","ĐVT Tiền Giang","TVT Trà Vinh","","Trà Vinh",,,"",,"Trà Vinh","","","BSC"
